03/16 09:59:11.037   INFO [WrapperSimpleAppMain] (MycatServer.java:198) -===============================================
03/16 09:59:11.038   INFO [WrapperSimpleAppMain] (MycatServer.java:199) -MyCat is ready to startup ...
03/16 09:59:11.038   INFO [WrapperSimpleAppMain] (MycatServer.java:209) -Startup processors ...,total processors:4,aio thread pool size:8    
 each process allocated socket buffer pool  bytes ,buffer chunk size:4096  buffer pool's capacity(buferPool/bufferChunk) is:4000
03/16 09:59:11.038   INFO [WrapperSimpleAppMain] (MycatServer.java:210) -sysconfig params:SystemConfig [processorBufferLocalPercent=100, frontSocketSoRcvbuf=1048576, frontSocketSoSndbuf=4194304, backSocketSoRcvbuf=4194304, backSocketSoSndbuf=1048576, frontSocketNoDelay=1, backSocketNoDelay=1, maxStringLiteralLength=65535, frontWriteQueueSize=2048, bindIp=0.0.0.0, serverPort=8066, managerPort=9066, charset=utf8, processors=4, processorExecutor=8, timerExecutor=2, managerExecutor=2, idleTimeout=1800000, catletClassCheckSeconds=60, sqlExecuteTimeout=300, processorCheckPeriod=1000, dataNodeIdleCheckPeriod=300000, dataNodeHeartbeatPeriod=10000, clusterHeartbeatUser=_HEARTBEAT_USER_, clusterHeartbeatPass=_HEARTBEAT_PASS_, clusterHeartbeatPeriod=5000, clusterHeartbeatTimeout=10000, clusterHeartbeatRetry=10, txIsolation=3, parserCommentVersion=50148, sqlRecordCount=10, processorBufferPool=16384000, processorBufferChunk=4096, defaultMaxLimit=100, sequnceHandlerType=0, sqlInterceptor=org.opencloudb.interceptor.impl.DefaultSqlInterceptor, sqlInterceptorType=select, sqlInterceptorFile=D:\Mycat-server-1.5.1-RELEASE-20161130213509-win\mycat/logs/sql.txt, mutiNodeLimitType=0, mutiNodePatchSize=100, defaultSqlParser=druidparser, usingAIO=0, packetHeaderSize=4, maxPacketSize=16777216, mycatNodeId=1]
03/16 09:59:11.056   INFO [WrapperSimpleAppMain] (MycatServer.java:269) -using nio network handler 
03/16 09:59:11.071   INFO [WrapperSimpleAppMain] (MycatServer.java:287) -$_MyCatManager is started and listening on 9066
03/16 09:59:11.072   INFO [WrapperSimpleAppMain] (MycatServer.java:291) -$_MyCatServer is started and listening on 8066
03/16 09:59:11.072   INFO [WrapperSimpleAppMain] (MycatServer.java:293) -===============================================
03/16 09:59:11.072   INFO [WrapperSimpleAppMain] (MycatServer.java:296) -Initialize dataHost ...
03/16 09:59:11.072   INFO [WrapperSimpleAppMain] (PhysicalDBPool.java:294) -init backend myqsl source ,create connections total 10 for hostM1 index :0
03/16 09:59:11.073   INFO [WrapperSimpleAppMain] (PhysicalDatasource.java:373) -not ilde connection in pool,create new connection for hostM1 of schema db02
03/16 09:59:11.074   INFO [WrapperSimpleAppMain] (PhysicalDatasource.java:373) -not ilde connection in pool,create new connection for hostM1 of schema db01
03/16 09:59:11.076   INFO [WrapperSimpleAppMain] (PhysicalDatasource.java:373) -not ilde connection in pool,create new connection for hostM1 of schema db02
03/16 09:59:11.076   INFO [WrapperSimpleAppMain] (PhysicalDatasource.java:373) -not ilde connection in pool,create new connection for hostM1 of schema db01
03/16 09:59:11.076   INFO [WrapperSimpleAppMain] (PhysicalDatasource.java:373) -not ilde connection in pool,create new connection for hostM1 of schema db02
03/16 09:59:11.077   INFO [WrapperSimpleAppMain] (PhysicalDatasource.java:373) -not ilde connection in pool,create new connection for hostM1 of schema db01
03/16 09:59:11.077   INFO [WrapperSimpleAppMain] (PhysicalDatasource.java:373) -not ilde connection in pool,create new connection for hostM1 of schema db02
03/16 09:59:11.077   INFO [WrapperSimpleAppMain] (PhysicalDatasource.java:373) -not ilde connection in pool,create new connection for hostM1 of schema db01
03/16 09:59:11.078   INFO [WrapperSimpleAppMain] (PhysicalDatasource.java:373) -not ilde connection in pool,create new connection for hostM1 of schema db02
03/16 09:59:11.078   INFO [WrapperSimpleAppMain] (PhysicalDatasource.java:373) -not ilde connection in pool,create new connection for hostM1 of schema db01
03/16 09:59:11.097   INFO [$_NIOREACTOR-1-RW] (GetConnectionHandler.java:66) -connected successfuly MySQLConnection [id=1, lastTime=1552744751097, user=root, schema=db02, old shema=db02, borrowed=true, fromSlaveDB=false, threadId=725, charset=latin1, txIsolation=0, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]
03/16 09:59:11.097   INFO [$_NIOREACTOR-2-RW] (GetConnectionHandler.java:66) -connected successfuly MySQLConnection [id=2, lastTime=1552744751097, user=root, schema=db01, old shema=db01, borrowed=true, fromSlaveDB=false, threadId=729, charset=latin1, txIsolation=0, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]
03/16 09:59:11.097   INFO [$_NIOREACTOR-1-RW] (GetConnectionHandler.java:66) -connected successfuly MySQLConnection [id=5, lastTime=1552744751097, user=root, schema=db02, old shema=db02, borrowed=true, fromSlaveDB=false, threadId=723, charset=latin1, txIsolation=0, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]
