STATUS | wrapper  | 2019/03/16 09:09:26 | Mycat-server installed.
STATUS | wrapper  | 2019/03/16 09:09:47 | Starting the Mycat-server service...
STATUS | wrapper  | 2019/03/16 09:09:47 | --> Wrapper Started as Service
STATUS | wrapper  | 2019/03/16 09:09:47 | Launching a JVM...
INFO   | jvm 1    | 2019/03/16 09:09:48 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/03/16 09:09:48 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/03/16 09:09:48 | 
INFO   | jvm 1    | 2019/03/16 09:09:49 | log4j 2019-03-16 09:09:49 [./conf/log4j.xml] load completed.
STATUS | wrapper  | 2019/03/16 09:09:52 | Mycat-server started.
STATUS | wrapper  | 2019/03/16 09:09:55 | The Mycat-server Service is installed.
STATUS | wrapper  | 2019/03/16 09:09:55 |   Start Type: Automatic
STATUS | wrapper  | 2019/03/16 09:09:55 |   Interactive: No
STATUS | wrapper  | 2019/03/16 09:09:55 |   Running: Yes
STATUS | wrapper  | 2019/03/16 09:10:03 | Stopping the Mycat-server service...
INFO   | jvm 1    | 2019/03/16 09:10:04 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
STATUS | wrapper  | 2019/03/16 09:10:04 | <-- Wrapper Stopped
STATUS | wrapper  | 2019/03/16 09:10:06 | Mycat-server stopped.
STATUS | wrapper  | 2019/03/16 09:10:07 | The Mycat-server Service is installed.
STATUS | wrapper  | 2019/03/16 09:10:07 |   Start Type: Automatic
STATUS | wrapper  | 2019/03/16 09:10:07 |   Interactive: No
STATUS | wrapper  | 2019/03/16 09:10:07 |   Running: No
STATUS | wrapper  | 2019/03/16 09:17:51 | Starting the Mycat-server service...
STATUS | wrapper  | 2019/03/16 09:17:51 | --> Wrapper Started as Service
STATUS | wrapper  | 2019/03/16 09:17:52 | Launching a JVM...
INFO   | jvm 1    | 2019/03/16 09:17:52 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/03/16 09:17:52 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/03/16 09:17:52 | 
INFO   | jvm 1    | 2019/03/16 09:17:53 | 
